video_id,seg_id,clip_path,t_start,t_end,predicted_class,similarity,status,revisor_correto
TVHQA4fVT-I,seg_0049_2515,TVHQA4fVT-I/clips/seg_0049_2515.mp4,83.833,84.167,barulho,0.6482923030853271,confiante,
ToSVAjP-Lo0,seg_0016_697,ToSVAjP-Lo0/clips/seg_0016_697.mp4,23.233,23.933,medo,0.651930570602417,confiante,
U0S3733b4O0,seg_0015_580,U0S3733b4O0/clips/seg_0015_580.mp4,19.353,19.62,vacina,0.6860774159431458,confiante,
jcv_-C_jLQE,seg_0069_4367,jcv_-C_jLQE/clips/seg_0069_4367.mp4,145.567,146.1,conhecer,0.6464300155639648,confiante,
UYQGv461FaU,seg_0104_8331,UYQGv461FaU/clips/seg_0104_8331.mp4,277.7,278.0,amarelo,0.6444056034088135,confiante,
Uc907tOJGsM,seg_0019_973,Uc907tOJGsM/clips/seg_0019_973.mp4,32.466,33.534,esquina,0.6841894388198853,confiante,
AFaGETtK56c,seg_0023_3157,AFaGETtK56c/clips/seg_0023_3157.mp4,105.233,105.867,maca,0.6573009490966797,confiante,
GtCh8cw5P4Y,seg_0049_3648,GtCh8cw5P4Y/clips/seg_0049_3648.mp4,121.722,122.022,acontecer,0.7762537598609924,confiante,
vNcJz1PSzVw,seg_0147_6175,vNcJz1PSzVw/clips/seg_0147_6175.mp4,247.0,247.68,espelho,0.6304632425308228,confiante,
nBhhdVLeUY4,seg_0059_5897,nBhhdVLeUY4/clips/seg_0059_5897.mp4,196.567,196.967,america,0.6530296206474304,confiante,
jcv_-C_jLQE,seg_0139_10014,jcv_-C_jLQE/clips/seg_0139_10014.mp4,333.8,334.667,sapo,0.6418653726577759,confiante,
da5w9GT60kE,seg_0027_1038,da5w9GT60kE/clips/seg_0027_1038.mp4,34.6,35.667,aproveitar,0.6306631565093994,confiante,
K3xjB3uLySc,seg_0074_3773,K3xjB3uLySc/clips/seg_0074_3773.mp4,125.893,126.293,banheiro,0.6760140061378479,confiante,
97f2KhahLGM,seg_0014_362,97f2KhahLGM/clips/seg_0014_362.mp4,12.079,12.412,filho,0.8356494903564453,confiante,
jcv_-C_jLQE,seg_0190_13599,jcv_-C_jLQE/clips/seg_0190_13599.mp4,453.3,453.633,barulho,0.691923201084137,confiante,
4t4NSuWGJfI,seg_0076_2966,4t4NSuWGJfI/clips/seg_0076_2966.mp4,98.966,99.232,medo,0.6744968295097351,confiante,
e8PmaBDaLb0,seg_0014_691,e8PmaBDaLb0/clips/seg_0014_691.mp4,23.056,23.39,vacina,0.6747653484344482,confiante,
5FU4BfpiIYY,seg_0032_2005,5FU4BfpiIYY/clips/seg_0032_2005.mp4,66.833,67.2,conhecer,0.7417153120040894,confiante,
iASBvcjlDHQ,seg_0119_4302,iASBvcjlDHQ/clips/seg_0119_4302.mp4,143.543,144.611,amarelo,0.6326966285705566,confiante,
vku3fL57ung,seg_0143_5528,vku3fL57ung/clips/seg_0143_5528.mp4,230.333,231.083,esquina,0.6299670934677124,confiante,
bhZfzvdDAOg,seg_0018_2227,bhZfzvdDAOg/clips/seg_0018_2227.mp4,74.308,74.775,maca,0.6593455076217651,confiante,
582XmupJYco,seg_0005_540,582XmupJYco/clips/seg_0005_540.mp4,18.0,18.333,acontecer,0.8270905017852783,confiante,
mfa5tBaOg5Y,seg_0049_3115,mfa5tBaOg5Y/clips/seg_0049_3115.mp4,124.6,124.88,espelho,0.6862027645111084,confiante,
4t4NSuWGJfI,seg_0236_9495,4t4NSuWGJfI/clips/seg_0236_9495.mp4,316.816,317.117,america,0.7050557732582092,confiante,
TnQDh7h0bNA,seg_0009_467,TnQDh7h0bNA/clips/seg_0009_467.mp4,18.68,19.56,sapo,0.7394698858261108,confiante,
dmsbfSjtXGM,seg_0092_5288,dmsbfSjtXGM/clips/seg_0092_5288.mp4,176.443,176.743,aproveitar,0.7257999181747437,confiante,
94j_xHN_dVM,seg_0070_3006,94j_xHN_dVM/clips/seg_0070_3006.mp4,100.3,101.134,banheiro,0.6592992544174194,confiante,
97f2KhahLGM,seg_0510_22232,97f2KhahLGM/clips/seg_0510_22232.mp4,741.808,742.242,filho,0.6745232343673706,confiante,
A4DN0UYdq8g,seg_0193_10845,A4DN0UYdq8g/clips/seg_0193_10845.mp4,361.5,362.2,barulho,0.6967176198959351,confiante,
4t4NSuWGJfI,seg_0056_2268,4t4NSuWGJfI/clips/seg_0056_2268.mp4,75.676,76.276,medo,0.8144171237945557,confiante,
SW3uzuFG_o0,seg_0158_9097,SW3uzuFG_o0/clips/seg_0158_9097.mp4,303.537,303.87,vacina,0.6417521238327026,confiante,
P4hPYaWLl34,seg_0083_2824,P4hPYaWLl34/clips/seg_0083_2824.mp4,112.96,113.28,conhecer,0.6264746785163879,confiante,
qDhxqjb9bIQ,seg_0068_3265,qDhxqjb9bIQ/clips/seg_0068_3265.mp4,108.942,109.476,amarelo,0.6444302201271057,confiante,
Yxo-OXWGikc,seg_0134_17638,Yxo-OXWGikc/clips/seg_0134_17638.mp4,588.521,589.255,esquina,0.6470760107040405,confiante,
4t4NSuWGJfI,seg_0175_6951,4t4NSuWGJfI/clips/seg_0175_6951.mp4,231.932,232.232,maca,0.6601343154907227,confiante,
A4DN0UYdq8g,seg_0043_2315,A4DN0UYdq8g/clips/seg_0043_2315.mp4,77.167,77.9,america,0.3999891281127929,desconhecido,
csRp3F9hoHY,seg_0202_9511,csRp3F9hoHY/clips/seg_0202_9511.mp4,380.44,380.76,aproveitar,0.4771751761436462,desconhecido,
eZT-o5u719M,seg_0126_5081,eZT-o5u719M/clips/seg_0126_5081.mp4,169.536,170.604,barulho,0.371407151222229,desconhecido,
A4DN0UYdq8g,seg_0173_9180,A4DN0UYdq8g/clips/seg_0173_9180.mp4,306.0,306.9,acontecer,0.5414999723434448,desconhecido,
eZT-o5u719M,seg_0054_2899,eZT-o5u719M/clips/seg_0054_2899.mp4,96.73,97.164,acontecer,0.5366834402084351,desconhecido,
PKZc6PDHGPQ,seg_0110_3987,PKZc6PDHGPQ/clips/seg_0110_3987.mp4,137.483,138.448,america,0.5838500261306763,desconhecido,
rKF1HsLKvm4,seg_0012_748,rKF1HsLKvm4/clips/seg_0012_748.mp4,24.958,25.259,banheiro,0.6135779619216919,desconhecido,
7GdVoa3HjUg,seg_0074_2165,7GdVoa3HjUg/clips/seg_0074_2165.mp4,72.239,72.706,acontecer,0.5096609592437744,desconhecido,
3lyAmxjan-8,seg_0032_1872,3lyAmxjan-8/clips/seg_0032_1872.mp4,62.4,63.467,aproveitar,0.2815375924110412,desconhecido,
Yxo-OXWGikc,seg_0045_5510,Yxo-OXWGikc/clips/seg_0045_5510.mp4,183.85,184.284,filho,0.511713445186615,desconhecido,
94j_xHN_dVM,seg_0128_5429,94j_xHN_dVM/clips/seg_0128_5429.mp4,181.148,181.848,aproveitar,0.5498428344726562,desconhecido,
4t4NSuWGJfI,seg_0251_9815,4t4NSuWGJfI/clips/seg_0251_9815.mp4,327.494,327.928,acontecer,0.3705600202083587,desconhecido,
97f2KhahLGM,seg_0221_8335,97f2KhahLGM/clips/seg_0221_8335.mp4,278.111,278.512,acontecer,0.4141047298908233,desconhecido,
AMUJzJI-v1U,seg_0116_5879,AMUJzJI-v1U/clips/seg_0116_5879.mp4,196.163,197.23,acontecer,0.5716480016708374,desconhecido,
611jt9Ku4R4,seg_0005_736,611jt9Ku4R4/clips/seg_0005_736.mp4,24.558,25.259,filho,0.4497327804565429,desconhecido,
MEW2FZbwthM,seg_0147_7155,MEW2FZbwthM/clips/seg_0147_7155.mp4,286.2,286.6,espelho,0.4567543864250183,desconhecido,
KPyr8jFaB2k,seg_0202_4653,KPyr8jFaB2k/clips/seg_0202_4653.mp4,155.255,155.956,amarelo,0.5171728730201721,desconhecido,
MEW2FZbwthM,seg_0056_2970,MEW2FZbwthM/clips/seg_0056_2970.mp4,118.8,119.2,vacina,0.5100136995315552,desconhecido,
vku3fL57ung,seg_0153_6118,vku3fL57ung/clips/seg_0153_6118.mp4,254.917,255.333,acontecer,0.3576444387435913,desconhecido,
eZT-o5u719M,seg_0157_6069,eZT-o5u719M/clips/seg_0157_6069.mp4,202.502,203.37,acontecer,0.5144608020782471,desconhecido,
611jt9Ku4R4,seg_0095_4134,611jt9Ku4R4/clips/seg_0095_4134.mp4,137.938,138.705,filho,0.4088910222053528,desconhecido,
JjAcxZz10rY,seg_0086_3645,JjAcxZz10rY/clips/seg_0086_3645.mp4,152.027,152.611,espelho,0.5866684317588806,desconhecido,
jXZrO2pcIEw,seg_0103_4888,jXZrO2pcIEw/clips/seg_0103_4888.mp4,162.933,163.433,acontecer,0.621487021446228,desconhecido,
A4DN0UYdq8g,seg_0070_5161,A4DN0UYdq8g/clips/seg_0070_5161.mp4,172.033,172.433,espelho,0.4472821950912475,desconhecido,
ZHEbpJfF10g,seg_0052_2519,ZHEbpJfF10g/clips/seg_0052_2519.mp4,84.051,84.418,aproveitar,0.4093824923038482,desconhecido,
97f2KhahLGM,seg_0464_20370,97f2KhahLGM/clips/seg_0464_20370.mp4,679.679,680.346,america,0.5699911117553711,desconhecido,
ytnaqz5N7qU,seg_0250_16366,ytnaqz5N7qU/clips/seg_0250_16366.mp4,546.079,546.513,vacina,0.250984787940979,desconhecido,
NACi3puNuFE,seg_0035_2278,NACi3puNuFE/clips/seg_0035_2278.mp4,76.009,76.31,acontecer,0.5940904021263123,desconhecido,
vku3fL57ung,seg_0251_9721,vku3fL57ung/clips/seg_0251_9721.mp4,405.042,405.5,espelho,0.5435652136802673,desconhecido,
Nt4VgTCDvrw,seg_0037_2269,Nt4VgTCDvrw/clips/seg_0037_2269.mp4,75.709,76.109,espelho,0.5128011107444763,desconhecido,
qjpXyr-KF5E,seg_0276_10359,qjpXyr-KF5E/clips/seg_0276_10359.mp4,345.3,345.733,filho,0.5130182504653931,desconhecido,
7GdVoa3HjUg,seg_0058_1753,7GdVoa3HjUg/clips/seg_0058_1753.mp4,58.492,58.992,filho,0.3651983141899109,desconhecido,
k7zc95bjAto,seg_0057_5291,k7zc95bjAto/clips/seg_0057_5291.mp4,176.367,176.7,aproveitar,0.3566316962242126,desconhecido,
VgKScUwLpZI,seg_0243_9974,VgKScUwLpZI/clips/seg_0243_9974.mp4,332.467,332.9,acontecer,0.4983275830745697,desconhecido,
sKop9I41JK8,seg_0012_395,sKop9I41JK8/clips/seg_0012_395.mp4,16.475,17.559,vacina,0.4702625274658203,desconhecido,
ToSVAjP-Lo0,seg_0064_3283,ToSVAjP-Lo0/clips/seg_0064_3283.mp4,109.433,109.767,filho,0.4500451982021332,desconhecido,
611jt9Ku4R4,seg_0110_4433,611jt9Ku4R4/clips/seg_0110_4433.mp4,147.914,148.849,filho,0.5231281518936157,desconhecido,
vNcJz1PSzVw,seg_0102_4458,vNcJz1PSzVw/clips/seg_0102_4458.mp4,178.32,178.76,acontecer,0.5331247448921204,desconhecido,
U0S3733b4O0,seg_0105_5644,U0S3733b4O0/clips/seg_0105_5644.mp4,188.321,188.755,acontecer,0.5482614040374756,desconhecido,
NVfQ2ZCKADI,seg_0051_2444,NVfQ2ZCKADI/clips/seg_0051_2444.mp4,97.76,98.04,barulho,0.5344940423965454,desconhecido,
k8EnZ94qj-Q,seg_0012_2685,k8EnZ94qj-Q/clips/seg_0012_2685.mp4,89.59,89.89,vacina,0.3348422646522522,desconhecido,
U0S3733b4O0,seg_0088_4227,U0S3733b4O0/clips/seg_0088_4227.mp4,141.041,141.875,barulho,0.567642331123352,desconhecido,
AbTHN7W9s_c,seg_0024_1884,AbTHN7W9s_c/clips/seg_0024_1884.mp4,62.863,63.196,aproveitar,0.4194160401821136,desconhecido,
L6o3dJHn93I,seg_0167_7808,L6o3dJHn93I/clips/seg_0167_7808.mp4,260.527,261.428,vacina,0.4008708000183105,desconhecido,
7GdVoa3HjUg,seg_0379_10896,7GdVoa3HjUg/clips/seg_0379_10896.mp4,363.563,364.364,amarelo,0.3671765923500061,desconhecido,
tuAedL5q0Jc,seg_0021_710,tuAedL5q0Jc/clips/seg_0021_710.mp4,29.583,29.958,aproveitar,0.5529787540435791,desconhecido,
ZHEbpJfF10g,seg_0068_3105,ZHEbpJfF10g/clips/seg_0068_3105.mp4,103.604,104.071,aproveitar,0.5013457536697388,desconhecido,
NVfQ2ZCKADI,seg_0136_5403,NVfQ2ZCKADI/clips/seg_0136_5403.mp4,216.12,216.4,acontecer,0.6089720726013184,desconhecido,
mfa5tBaOg5Y,seg_0002_158,mfa5tBaOg5Y/clips/seg_0002_158.mp4,6.32,6.76,aproveitar,0.5436356067657471,desconhecido,
94j_xHN_dVM,seg_0133_5583,94j_xHN_dVM/clips/seg_0133_5583.mp4,186.286,186.953,acontecer,0.4259561896324157,desconhecido,
TT26jZmkV_s,seg_0074_1275,TT26jZmkV_s/clips/seg_0074_1275.mp4,85.0,85.333,cinco,0.4056169092655182,desconhecido,
KPyr8jFaB2k,seg_0213_4950,KPyr8jFaB2k/clips/seg_0213_4950.mp4,165.165,166.233,amarelo,0.432334691286087,desconhecido,
da5w9GT60kE,seg_0109_4595,da5w9GT60kE/clips/seg_0109_4595.mp4,153.167,153.967,filho,0.5825804471969604,desconhecido,
WGrDqJeW3fw,seg_0135_5099,WGrDqJeW3fw/clips/seg_0135_5099.mp4,173.737,174.146,maca,0.538561999797821,desconhecido,
mfa5tBaOg5Y,seg_0129_8404,mfa5tBaOg5Y/clips/seg_0129_8404.mp4,336.16,336.56,acontecer,0.4802532494068146,desconhecido,
UYQGv461FaU,seg_0041_3016,UYQGv461FaU/clips/seg_0041_3016.mp4,100.533,100.9,espelho,0.5827677249908447,desconhecido,
PKZc6PDHGPQ,seg_0039_1409,PKZc6PDHGPQ/clips/seg_0039_1409.mp4,48.586,49.345,america,0.6025104522705078,desconhecido,
k7zc95bjAto,seg_0077_7250,k7zc95bjAto/clips/seg_0077_7250.mp4,241.667,242.1,espelho,0.3747861385345459,desconhecido,
eZT-o5u719M,seg_0265_9979,eZT-o5u719M/clips/seg_0265_9979.mp4,332.966,333.466,acontecer,0.6193650960922241,desconhecido,
RtccCJWGazw,seg_0061_2730,RtccCJWGazw/clips/seg_0061_2730.mp4,91.091,91.625,acontecer,0.4119511842727661,desconhecido,
